timestamp,role,score
2025-08-09T18:53:45.108481,Business Analyst,80.0
2025-08-09T19:06:55.269549,Machine Learning Engineer,17.44
2025-08-09T19:11:06.668871,Business Analyst,2.12
2025-08-09T19:12:11.511373,Data Scientist,87.5
2025-08-11T23:39:04.919954,Data Scientist,62.5
